,yhat,y_test
0,0.42385683517242934,
1,0.47316708098667326,
2,0.42385683517242934,
3,0.6645969238925404,
4,0.47316708098667326,
5,0.6116689745756718,
6,0.42385683517242934,
7,0.47316708098667326,
8,0.42385683517242934,
9,0.6645969238925404,
10,0.47316708098667326,
11,0.6116689745756718,
12,0.42385683517242934,
13,0.47316708098667326,
14,0.42385683517242934,
15,0.6645969238925404,
16,0.47316708098667326,
17,0.6116689745756718,
18,0.42304725471427695,
19,0.46343568752250397,
20,0.42304725471427695,
21,0.6534623422869945,
22,0.46343568752250397,
23,0.611263292642206,
24,0.4354941676158856,
25,0.4800446786113216,
26,0.4354941676158856,
27,0.6696284412505136,
28,0.4800446786113216,
29,0.6223823684980754,
30,0.9127129026462533,
31,0.8936206700940366,
32,0.9172399915722409,
33,0.4245412870443088,
34,0.46142115764615327,
35,0.4245412870443088,
36,0.6568472731705283,
37,0.46142115764615327,
38,0.619843335644617,
39,0.4222858127115234,
40,0.46484315873312226,
41,0.4222858127115234,
42,0.6619282233131834,
43,0.46484315873312226,
44,0.618260234701724,
45,0.4222858127115234,
46,0.46484315873312226,
47,0.4222858127115234,
48,0.6619282233131834,
49,0.46484315873312226,
50,0.618260234701724,
51,0.4237000576898995,
52,0.4665137352048109,
53,0.4237000576898995,
54,0.6644125204721028,
55,0.4665137352048109,
56,0.6204882003673309,
57,0.4237000576898995,
58,0.4665137352048109,
59,0.4237000576898995,
60,0.6644125204721028,
61,0.4665137352048109,
62,0.6204882003673309,
63,0.4237000576898995,
64,0.4665137352048109,
65,0.4237000576898995,
66,0.6644125204721028,
67,0.4665137352048109,
68,0.6204882003673309,
69,0.4237000576898995,
70,0.4665137352048109,
71,0.4237000576898995,
72,0.6644125204721028,
73,0.4665137352048109,
74,0.6204882003673309,
75,0.43469362905329056,
76,0.473672528437546,
77,0.43469362905329056,
78,0.6616017071604465,
79,0.473672528437546,
80,0.6216137959316834,
81,0.43469362905329056,
82,0.473672528437546,
83,0.43469362905329056,
84,0.6616017071604465,
85,0.473672528437546,
86,0.6216137959316834,
87,0.43469362905329056,
88,0.473672528437546,
89,0.43469362905329056,
90,0.6616017071604465,
91,0.473672528437546,
92,0.6216137959316834,
93,0.43469362905329056,
94,0.473672528437546,
95,0.43469362905329056,
96,0.6616017071604465,
97,0.473672528437546,
98,0.6216137959316834,
99,0.4237000576898995,
100,0.4665137352048109,
101,0.4237000576898995,
102,0.6644125204721028,
103,0.4665137352048109,
104,0.6204882003673309,
105,0.4237000576898995,
106,0.4665137352048109,
107,0.4237000576898995,
108,0.6644125204721028,
109,0.4665137352048109,
110,0.6204882003673309,
111,0.43610787403166673,
112,0.4753431049092346,
113,0.43610787403166673,
114,0.6640860043193659,
115,0.4753431049092346,
116,0.6238417615972904,
117,0.43610787403166673,
118,0.4753431049092346,
119,0.43610787403166673,
120,0.6640860043193659,
121,0.4753431049092346,
122,0.6238417615972904,
123,0.4237000576898995,
124,0.4665137352048109,
125,0.4237000576898995,
126,0.6644125204721028,
127,0.4665137352048109,
128,0.6204882003673309,
129,0.4237000576898995,
130,0.4665137352048109,
131,0.4237000576898995,
132,0.6644125204721028,
133,0.4665137352048109,
134,0.6204882003673309,
135,0.43469362905329056,
136,0.473672528437546,
137,0.43469362905329056,
138,0.6616017071604465,
139,0.473672528437546,
140,0.6216137959316834,
141,0.43469362905329056,
142,0.473672528437546,
143,0.43469362905329056,
144,0.6616017071604465,
145,0.473672528437546,
146,0.6216137959316834,
147,0.43610787403166673,
148,0.4753431049092346,
149,0.43610787403166673,
150,0.6640860043193659,
151,0.4753431049092346,
152,0.6238417615972904,
153,0.43610787403166673,
154,0.4753431049092346,
155,0.43610787403166673,
156,0.6640860043193659,
157,0.4753431049092346,
158,0.6238417615972904,
159,0.43469362905329056,
160,0.473672528437546,
161,0.43469362905329056,
162,0.6616017071604465,
