,yhat,y_test
0,0.0479097980288331,
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0006251170444341556,
19,0.0,
20,0.0,
21,0.0006251170444341556,
22,1.3644974928861047e-06,
23,1.3644974928861047e-06,
24,1.3644974928861047e-06,
25,1.3644974928861047e-06,
26,0.0012711428739671322,
27,0.6229016399445723,
28,0.87997521786607,
29,0.0,
30,1.3644974928861047e-06,
31,0.9317352334744892,
32,0.0479097980288331,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.0006251170444341556,
51,0.0,
52,0.0,
53,0.0006251170444341556,
54,1.3644974928861047e-06,
55,1.3644974928861047e-06,
56,1.3644974928861047e-06,
57,1.3644974928861047e-06,
58,0.0012711428739671322,
59,0.6234882161509394,
60,0.8805617940724371,
61,0.0,
62,1.3644974928861047e-06,
63,0.9323218096808562,
64,0.0,
65,0.005523439007679676,
66,0.02682339905413466,
67,0.0,
68,0.022965059109585302,
69,0.022965059109585302,
70,0.008556572479612648,
71,0.015735884768167674,
72,0.0012777123375566216,
73,0.0012777123375566216,
74,0.0,
75,0.0013288802035048507,
76,0.0012777123375566216,
77,0.0006666666666666666,
78,0.25087957268863126,
79,0.8819572471618905,
80,0.8819572471618905,
81,0.002931950436505925,
82,0.0,
83,0.034649783709416106,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.8403089310120193,
89,0.0,
90,0.0,
91,0.016664259045447716,
92,0.0,
93,0.002638292310252535,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,0.0,
99,0.0,
100,0.0,
101,0.8338998649045488,
102,0.0,
103,0.0,
104,0.0,
105,0.01555109672032318,
106,0.00933469783082622,
107,0.031808034194534617,
108,0.031808034194534617,
109,0.9101753222438227,
110,0.9101753222438227,
111,0.01655321612215415,
112,0.03380803419453462,
113,0.03380803419453462,
114,0.9135855728533999,
115,0.9135855728533999,
116,0.010001364497492886,
117,0.031808034194534617,
118,0.031808034194534617,
119,0.9110969974031604,
120,0.9110969974031604,
121,0.009921274037193376,
122,0.032474700861201286,
123,0.032474700861201286,
124,0.9129592133831027,
125,0.9129592133831027,
126,0.00933469783082622,
127,0.031808034194534617,
128,0.031808034194534617,
129,0.9135855728533999,
130,0.9135855728533999,
131,0.00933469783082622,
132,0.03117315241273431,
133,0.03117315241273431,
134,0.9129602345311103,
135,0.9129602345311103,
136,0.01655321612215415,
137,0.031808034194534617,
138,0.031808034194534617,
139,0.9135855728533999,
140,0.9135855728533999,
141,0.00933469783082622,
142,0.0323316995070218,
143,0.0323316995070218,
144,0.9129592133831027,
145,0.9129592133831027,
146,0.01655321612215415,
147,0.03380803419453462,
148,0.03380803419453462,
149,0.9135855728533999,
150,0.9135855728533999,
151,0.00933469783082622,
152,0.03176542981086043,
153,0.03176542981086043,
154,0.9110826890460894,
155,0.9110826890460894,
156,0.00933469783082622,
157,0.031210638489359635,
158,0.031210638489359635,
159,0.9123340963386686,
160,0.9123340963386686,
161,0.00933469783082622,
162,0.031808034194534617,
163,0.031808034194534617,
164,0.9123469674436251,
165,0.9123469674436251,
166,0.00933469783082622,
167,0.031808034194534617,
168,0.031808034194534617,
169,0.9098523330681177,
170,0.9098523330681177,
171,0.031685258121587095,
172,0.031808034194534617,
173,0.031808034194534617,
174,0.9129631055134572,
175,0.9129631055134572,
176,0.01710655448536321,
177,0.03380803419453462,
178,0.03380803419453462,
179,0.9123371892822955,
180,0.9123371892822955,
181,0.010668031164159554,
182,0.031808034194534617,
183,0.031808034194534617,
184,0.9123422014639146,
185,0.9123422014639146,
186,0.00933469783082622,
187,0.03117315241273431,
188,0.03117315241273431,
189,0.9135855728533999,
190,0.9135855728533999,
191,0.00933469783082622,
192,0.032474700861201286,
193,0.032474700861201286,
194,0.9123453171422521,
195,0.9123453171422521,
196,0.013435276350952964,
197,0.03117315241273431,
198,0.03117315241273431,
199,0.9123445480511783,
200,0.9123445480511783,
201,0.00933469783082622,
202,0.031808034194534617,
203,0.031808034194534617,
204,0.9104685548417826,
205,0.9104685548417826,
206,0.00933469783082622,
207,0.03176542981086043,
208,0.03176542981086043,
209,0.9117178143960389,
210,0.9117178143960389,
211,0.0,
212,0.0,
213,0.0,
214,0.0,
215,0.0,
216,0.0,
217,0.0,
218,0.0,
219,0.0,
220,0.9465077014972682,
221,0.9465077014972682,
222,0.9465077014972682,
223,0.0,
224,1.3644974928861047e-06,
225,0.0,
226,0.0,
227,0.0,
228,0.9638138224876297,
229,0.0,
230,1.3644974928861047e-06,
231,0.0,
232,0.0,
233,0.0,
234,0.0,
235,0.0,
236,0.0,
237,0.0,
238,0.0,
239,0.0,
240,0.9510999364959238,
241,0.9510999364959238,
242,0.9510999364959238,
243,0.0,
244,0.002001364497492886,
245,0.0,
246,0.0,
247,0.0006666666666666666,
248,0.97428766617433,
249,0.0006666666666666666,
250,1.3644974928861047e-06,
251,0.0,
252,0.0,
253,0.0,
254,0.0,
255,0.0,
256,0.0,
257,0.0,
258,0.0,
259,0.0,
260,0.9510918447718142,
261,0.9510918447718142,
262,0.9510918447718142,
263,0.0,
264,0.002001364497492886,
265,0.0,
266,0.0,
267,0.0006666666666666666,
268,0.97428766617433,
269,0.0,
270,1.3644974928861047e-06,
271,0.0,
272,0.0,
273,0.0,
274,0.0,
275,0.0,
276,0.0,
277,0.0,
278,0.0,
279,0.0,
280,0.9523084731536207,
281,0.9523084731536207,
282,0.9523084731536207,
283,0.0,
284,0.002001364497492886,
285,0.0,
286,0.0,
287,0.0006666666666666666,
288,0.9722946267061795,
289,0.0006666666666666666,
290,1.3644974928861047e-06,
291,0.0,
292,0.0,
293,0.0,
294,0.0,
295,0.0,
296,0.0,
297,0.0,
298,0.0,
299,0.0,
300,0.957100174436701,
301,0.957100174436701,
302,0.957100174436701,
303,0.0,
304,1.3644974928861047e-06,
305,0.0,
306,0.0,
307,0.0,
308,0.976283659564735,
309,0.0,
310,1.3644974928861047e-06,
311,0.0,
312,0.0,
313,0.0,
314,0.0,
315,0.0,
316,0.0,
317,0.0,
318,0.0,
319,0.0,
320,0.9510853828496054,
321,0.9510853828496054,
322,0.9510853828496054,
323,0.0,
324,0.002001364497492886,
325,0.0,
326,0.0,
327,0.0006666666666666666,
328,0.97428766617433,
329,0.0,
330,1.3644974928861047e-06,
331,0.0,
332,0.0,
333,0.0,
334,0.0,
335,0.0,
336,0.0,
337,0.0,
338,0.0,
339,0.0,
340,0.9575227487768724,
341,0.9575227487768724,
342,0.9575227487768724,
343,0.0,
344,1.3644974928861047e-06,
345,0.0,
346,0.0,
347,0.0,
348,0.976283659564735,
349,0.0,
350,1.3644974928861047e-06,
351,0.0,
352,0.0,
353,0.0,
354,0.0,
355,0.0,
356,0.0,
357,0.0,
358,0.0,
359,0.0,
360,0.9580789445626084,
361,0.9580789445626084,
362,0.9580789445626084,
363,0.0,
364,1.3644974928861047e-06,
365,0.0,
366,0.0,
367,0.0,
368,0.976283659564735,
369,0.0,
370,1.3644974928861047e-06,
371,0.00033073848765389254,
372,1.3644974928861047e-06,
373,1.3644974928861047e-06,
374,1.3644974928861047e-06,
375,0.0013333333333333333,
376,0.0045865762063671545,
377,0.0019347839529346713,
378,0.0013333333333333333,
379,0.004,
380,0.011110241518854333,
381,1.3644974928861047e-06,
382,1.3644974928861047e-06,
383,1.3644974928861047e-06,
384,1.3644974928861047e-06,
385,0.9013479747030365,
386,0.00033073848765389254,
387,1.3644974928861047e-06,
388,1.3644974928861047e-06,
389,0.00033073848765389254,
390,1.3644974928861047e-06,
391,1.3644974928861047e-06,
392,1.3644974928861047e-06,
393,0.0013333333333333333,
394,0.0045865762063671545,
395,0.0019347839529346713,
396,0.0013333333333333333,
397,0.004,
398,0.011110241518854333,
399,1.3644974928861047e-06,
400,1.3644974928861047e-06,
401,1.3644974928861047e-06,
402,1.3644974928861047e-06,
403,0.9013479747030365,
404,0.00033073848765389254,
405,1.3644974928861047e-06,
406,1.3644974928861047e-06,
407,0.00033073848765389254,
408,1.3644974928861047e-06,
409,1.3644974928861047e-06,
410,1.3644974928861047e-06,
411,0.0013333333333333333,
412,0.0045865762063671545,
413,0.0019347839529346713,
414,0.0013333333333333333,
415,0.004,
416,0.011110241518854333,
417,1.3644974928861047e-06,
418,1.3644974928861047e-06,
419,1.3644974928861047e-06,
420,1.3644974928861047e-06,
421,0.8949522719748672,
422,0.00033073848765389254,
423,1.3644974928861047e-06,
424,1.3644974928861047e-06,
425,0.9259691278128103,
426,0.9259691278128103,
427,0.9259691278128103,
428,0.1835572927152333,
429,0.004668031164159553,
430,0.004668031164159553,
431,0.0013346978308262194,
432,0.0013346978308262194,
433,1.3644974928861047e-06,
434,1.3644974928861047e-06,
435,1.3644974928861047e-06,
436,1.3644974928861047e-06,
437,0.9286375319184267,
438,0.9286375319184267,
439,0.9286375319184267,
440,0.18359242627816874,
441,0.004668031164159553,
442,0.004668031164159553,
443,0.0013346978308262194,
444,0.0013346978308262194,
445,1.3644974928861047e-06,
446,1.3644974928861047e-06,
447,1.3644974928861047e-06,
448,1.3644974928861047e-06,
449,0.4599676207541516,
450,0.0012417286287233562,
451,0.011063377669727016,
452,0.004012788586997283,
453,0.8722309146695068,
454,0.9196420131986406,
455,0.9196420131986406,
456,0.0006666666666666666,
457,0.0019354089914630842,
458,1.3644974928861047e-06,
459,1.3644974928861047e-06,
460,0.824683339102317,
461,0.917566605380879,
462,0.917566605380879,
463,1.3644974928861047e-06,
464,0.0012627180697106645,
465,0.0012627180697106645,
466,1.3644974928861047e-06,
467,1.3644974928861047e-06,
468,0.8246571918481852,
469,0.9175404581267471,
470,0.9175404581267471,
471,1.3644974928861047e-06,
472,0.0012627180697106645,
473,0.0012627180697106645,
474,1.3644974928861047e-06,
475,1.3644974928861047e-06,
476,0.8269490444515906,
477,0.9204545018553041,
478,0.9204545018553041,
479,1.3644974928861047e-06,
480,0.0006319372800236527,
481,0.0006319372800236527,
482,1.3644974928861047e-06,
483,1.3644974928861047e-06,
484,0.8281481905891414,
485,0.9210296802019111,
486,0.9210296802019111,
487,1.3644974928861047e-06,
488,0.0012627180697106645,
489,0.0012627180697106645,
490,1.3644974928861047e-06,
491,1.3644974928861047e-06,
492,0.8275406977059738,
493,0.9210461551096872,
494,0.9210461551096872,
495,1.3644974928861047e-06,
496,0.0006319372800236527,
497,0.0006319372800236527,
498,0.0,
499,0.0,
500,0.8247513181085526,
501,0.9176282708829498,
502,0.9176282708829498,
503,0.0,
504,0.0012613535722177781,
505,0.0012613535722177781,
506,1.3644974928861047e-06,
507,1.3644974928861047e-06,
508,0.8262662926636686,
509,0.9191610267734476,
510,0.9191610267734476,
511,1.3644974928861047e-06,
512,0.0006319372800236527,
513,0.0006319372800236527,
514,1.3644974928861047e-06,
515,1.3644974928861047e-06,
516,0.8266205937103441,
517,0.9201278252402924,
518,0.9201278252402924,
519,1.3644974928861047e-06,
520,0.0006319372800236527,
521,0.0006319372800236527,
522,1.3644974928861047e-06,
523,1.3644974928861047e-06,
524,0.8251757019066579,
525,0.9170201149609748,
526,0.9170201149609748,
527,1.3644974928861047e-06,
528,0.0012627180697106645,
529,0.0012627180697106645,
530,0.017273366559888533,
531,0.0018384344676092062,
532,0.0,
533,0.0018384344676092062,
534,1.3644974928861047e-06,
535,0.0,
536,0.0,
537,0.0,
538,0.0,
539,0.9198579285731416,
540,0.0,
541,0.8448300495697372,
542,0.0,
543,0.9198579285731416,
544,0.0,
545,0.0,
546,0.0,
547,1.3644974928861047e-06,
548,0.0018384344676092062,
549,0.0,
550,0.8431034082416897,
551,0.0,
552,0.019386694863346144,
553,0.0018384344676092062,
554,0.0,
555,0.0018384344676092062,
556,1.3644974928861047e-06,
557,0.0,
558,0.0,
559,0.0,
560,0.0,
561,0.9204752046709745,
562,0.0,
563,0.8483039844504291,
564,0.0,
565,0.9204752046709745,
566,0.0,
567,0.0,
568,0.0,
569,1.3644974928861047e-06,
570,0.0018384344676092062,
571,0.0,
572,0.8331886821652881,
573,0.0,
574,0.9120300367993441,
575,0.0012231769523304633,
576,0.0012231769523304633,
577,0.0012231769523304633,
578,0.9120300367993441,
579,1.3644974928861047e-06,
580,0.0012231769523304633,
581,1.3644974928861047e-06,
582,1.3644974928861047e-06,
583,1.3644974928861047e-06,
584,1.3644974928861047e-06,
585,1.3644974928861047e-06,
586,1.3644974928861047e-06,
587,0.9120300367993441,
588,1.3644974928861047e-06,
589,1.3644974928861047e-06,
590,1.3644974928861047e-06,
591,0.03580245614193804,
592,0.0,
593,0.0,
594,0.0,
595,0.0,
596,0.0,
597,0.0,
598,0.0,
599,0.0,
600,0.0,
601,0.006826800568926725,
602,0.0031216072223849067,
603,0.0,
604,0.0,
605,0.0,
606,0.9184500905452451,
607,0.0,
608,0.9184500905452451,
609,0.0,
610,0.9184500905452451,
611,0.0,
612,0.0,
613,0.030936614662251845,
614,0.0,
615,0.0,
616,0.0035011273653240784,
617,0.0053253206694421,
618,0.0053253206694421,
619,0.004167794031990745,
620,0.14666192995381705,
621,0.15914110953163257,
622,0.0013333333333333333,
623,0.03184548203930581,
624,0.7907989435301069,
625,0.0,
626,0.0,
627,0.0,
628,0.0,
629,0.0,
630,0.6166899144477795,
631,0.27587836046869546,
632,0.0,
633,0.11262096890496795,
634,0.8129657269179509,
635,0.8783003556061336,
636,0.9112647696205,
637,0.0,
638,0.0012231769523304633,
639,0.0012231769523304633,
640,0.0006666666666666666,
641,0.0012231769523304633,
642,0.9114347442488319,
643,0.0,
644,0.006881902308032333,
645,0.0038143544918957505,
646,0.0012231769523304633,
647,1.3644974928861047e-06,
648,1.3644974928861047e-06,
649,0.9114347442488319,
650,1.3644974928861047e-06,
651,0.0012231769523304633,
652,0.0,
653,0.0013346978308262194,
654,0.0006680311641595528,
655,0.0006680311641595528,
656,0.0006680311641595528,
657,0.0006680311641595528,
658,0.0006680311641595528,
659,0.0006680311641595528,
660,0.0012231769523304633,
661,1.3644974928861047e-06,
662,0.0012231769523304633,
663,0.8885917428063055,
664,0.0012231769523304633,
665,0.0012231769523304633,
666,0.8885917428063055,
667,1.3644974928861047e-06,
668,1.3644974928861047e-06,
669,1.3644974928861047e-06,
670,0.8283858766165167,
671,0.9231319191066236,
672,0.9231319191066236,
673,1.3644974928861047e-06,
674,0.0012627180697106645,
675,0.0012627180697106645,
676,1.3644974928861047e-06,
677,1.3644974928861047e-06,
678,0.828186089295662,
679,0.9209747361694433,
680,0.9209747361694433,
681,1.3644974928861047e-06,
682,0.0012627180697106645,
683,0.0012627180697106645,
684,1.3644974928861047e-06,
685,1.3644974928861047e-06,
686,0.827536185301104,
687,0.9222822277912108,
