,yhat,y_test
0,0.01702517974212237,
1,0.01297652783137279,
2,0.025187783090217842,
3,0.09288673468104656,
4,0.08098503527656996,
5,0.010405686876782618,
6,0.05639649608676789,
7,0.017394021300106532,
8,0.09346939795588666,
9,0.006702282407154511,
10,0.056357136632529094,
11,0.7301279019807099,
12,0.01746276687947951,
13,0.015379212078954315,
14,0.02474934097392429,
15,0.11010488406731175,
16,0.08102890174363768,
17,0.009302309196378426,
18,0.0515297345811065,
19,0.01862864024650532,
20,0.09286116864118879,
21,0.007111912358209512,
22,0.05661146433732187,
23,0.7528750827880537,
24,0.01702517974212237,
25,0.01297652783137279,
26,0.025187783090217842,
27,0.09288673468104656,
28,0.08098503527656996,
29,0.010405686876782618,
30,0.05639649608676789,
31,0.017394021300106532,
32,0.09346939795588666,
33,0.006702282407154511,
34,0.056357136632529094,
35,0.7301279019807099,
36,0.01702517974212237,
37,0.01297652783137279,
38,0.025187783090217842,
39,0.09288673468104656,
40,0.08098503527656996,
41,0.010405686876782618,
42,0.05639649608676789,
43,0.017394021300106532,
44,0.09346939795588666,
45,0.006702282407154511,
46,0.056357136632529094,
47,0.7301279019807099,
48,0.01702517974212237,
49,0.01297652783137279,
50,0.025187783090217842,
51,0.09288673468104656,
52,0.08098503527656996,
53,0.010405686876782618,
54,0.05639649608676789,
55,0.017394021300106532,
56,0.09346939795588666,
57,0.006702282407154511,
58,0.056357136632529094,
59,0.7301279019807099,
60,0.015123634932197517,
61,0.009038114127237668,
62,0.015123634932197517,
63,0.030993273238855777,
64,0.01083748711353507,
65,0.017790995640266778,
66,0.06998034812043673,
67,0.024322131641159653,
68,0.02619843700584552,
69,0.06543854695862952,
70,0.474728053820751,
71,0.017408505844879945,
72,0.009532259493946184,
73,0.017408505844879945,
74,0.02732087310096293,
75,0.009293948963485317,
76,0.016037924254530843,
77,0.07265331352590289,
78,0.02826537184923987,
79,0.029071339215615968,
80,0.07330723213553643,
81,0.5044197820978107,
82,0.017408505844879945,
83,0.009532259493946184,
84,0.017408505844879945,
85,0.02732087310096293,
86,0.009293948963485317,
87,0.016037924254530843,
88,0.07265331352590289,
89,0.02826537184923987,
90,0.029071339215615968,
91,0.07330723213553643,
92,0.5044197820978107,
93,0.017923396516374188,
94,0.009598663583075028,
95,0.017923396516374188,
96,0.027366930217080275,
97,0.008860353052614164,
98,0.01515038545977703,
99,0.07178674867141256,
100,0.0277812591224805,
101,0.028137743304744816,
102,0.07191969334078262,
103,0.5035072481764957,
104,0.018035531592186804,
105,0.012235219378125542,
106,0.018035531592186804,
107,0.02843633944454874,
108,0.010525212339498831,
109,0.018617061307257363,
110,0.0713455632683813,
111,0.027509166629399454,
112,0.027041786973366035,
113,0.07269346849953107,
114,0.5026905865340755,
115,0.017408505844879945,
116,0.009532259493946184,
117,0.017408505844879945,
118,0.027820873100962932,
119,0.009293948963485317,
120,0.016908956897371045,
121,0.07210902461287039,
122,0.027246767710563998,
123,0.029535775601660715,
124,0.07365489225065057,
125,0.5005106144049668,
126,0.015871996801451793,
127,0.008243154843375322,
128,0.015871996801451793,
129,0.02742649925228784,
130,0.00891918068329783,
131,0.016127592360388104,
132,0.06977821670027556,
133,0.03003947337988904,
134,0.02691198554050751,
135,0.0723034205792002,
136,0.4936271395027803,
137,0.01715825238106106,
138,0.011801623467254389,
139,0.01715825238106106,
140,0.029790177972864602,
141,0.010091616428627678,
142,0.018188268678497016,
143,0.06892723583394098,
144,0.02605188898817781,
145,0.027556637119579865,
146,0.0732267561572645,
147,0.5057150004837105,
148,0.015758212606582174,
149,0.008129370648505703,
150,0.015758212606582174,
151,0.029236405184776344,
152,0.00880539648842821,
153,0.01645176640912612,
154,0.07097740593081972,
155,0.028704762097290674,
156,0.028184978720331166,
157,0.07412872035168401,
158,0.496455691526435,
159,0.019088822252750593,
160,0.012189086386839928,
161,0.019088822252750593,
162,0.04326566072346322,
163,0.010183658927229059,
164,0.020220809502658827,
165,0.0789522367027787,
166,0.038445627799138196,
167,0.026029941929786023,
168,0.07100687477761258,
169,0.5076548926483536,
170,0.016608650305212035,
171,0.009532259493946184,
172,0.016608650305212035,
173,0.028247937133278393,
174,0.008924191851574139,
175,0.016202221678831983,
176,0.0720764462372927,
177,0.028798620978658568,
178,0.028695440325276853,
179,0.07448972742922172,
180,0.5045632777790128,
181,0.01760908568913156,
182,0.008555329369188335,
183,0.01760908568913156,
184,0.03082194511667531,
185,0.00898125547267584,
186,0.018968741646911882,
187,0.08672349489634464,
188,0.025878688369988266,
189,0.028896515589379747,
190,0.07514830755704026,
191,0.5393438019103723,
192,0.01816276049970634,
193,0.010050122559763635,
194,0.01816276049970634,
195,0.027344731003904194,
196,0.009670782487981306,
197,0.018896940804547978,
198,0.0714485818909826,
199,0.028729281945844343,
200,0.02521797844250124,
201,0.06828208170420548,
202,0.4796405714507419,
203,0.016599203066074104,
204,0.009423031854648553,
205,0.016599203066074104,
206,0.03695456212067343,
207,0.009335236382503767,
208,0.020246091354888578,
209,0.07456525445670507,
210,0.03323440776422249,
211,0.025956854081881503,
212,0.06670131870676314,
213,0.4806811954588826,
214,0.01718416079685627,
215,0.00857889105927844,
216,0.01718416079685627,
217,0.02994868090765375,
218,0.009475676464372725,
219,0.019388403912537717,
220,0.0872228593313923,
221,0.025855569395839276,
222,0.02842007727946985,
223,0.07471071293807524,
224,0.5380433208425878,
225,0.01816276049970634,
226,0.010050122559763635,
227,0.01816276049970634,
228,0.027344731003904194,
229,0.009670782487981306,
230,0.018896940804547978,
231,0.0714485818909826,
232,0.028729281945844343,
233,0.02521797844250124,
234,0.06828208170420548,
235,0.4796405714507419,
236,0.014034942644944794,
237,0.007509506284712627,
238,0.014034942644944794,
239,0.03700941140014078,
240,0.006739502837858297,
241,0.018216519460372928,
242,0.07224793055628637,
243,0.027235063183284242,
244,0.028265265141092705,
245,0.07279106609714814,
246,0.5141590304989713,
247,0.7188197040041456,
248,0.7188197040041456,
249,0.7188197040041456,
250,0.7228976485598881,
251,0.7228976485598881,
252,0.7228976485598881,
253,0.7389329162060593,
254,0.7389329162060593,
255,0.7389329162060593,
256,0.21701991627215636,
257,0.1388400925546673,
258,0.1388400925546673,
259,0.23829977113889045,
260,0.19014791337264583,
261,0.055370667026799075,
262,0.06565653579502954,
263,0.1747871484775705,
264,0.055370667026799075,
265,0.04022883845487348,
266,0.926936824293084,
267,0.006213182876382759,
268,0.020077642728312653,
269,0.012864745709389787,
270,0.0,
271,0.03692689380220861,
272,0.0,
273,0.0009206082264113368,
274,0.0005,
275,0.0539770663523222,
276,0.008615395890967149,
277,0.0,
278,0.0,
279,0.0009206082264113368,
280,0.0,
281,0.03692689380220861,
282,0.044290381843562814,
283,0.005369503949813558,
284,0.002435585142973861,
285,0.0028173178949691016,
286,0.027482060754031062,
287,0.02472476360565635,
